Wavelength	Abs
349	0.0722682327
348	0.0559232533
347	0.05647330731
346	0.05836196244
345	0.05788134784
344	0.05868921056
343	0.05868843943
342	0.05930966139
341	0.05934363976
340	0.05992039293
339	0.06147519127
338	0.06058593839
337	0.06214431673
336	0.06151780859
335	0.06324968487
334	0.06425310671
333	0.06402716041
332	0.06559850276
331	0.06539990753
330	0.06632812321
329	0.06647772342
328	0.0676548928
327	0.0688694194
326	0.06904693693
325	0.0705107823
324	0.07148463279
323	0.07139866799
322	0.07268899679
321	0.07362820953
320	0.07543376833
319	0.07558361441
318	0.07677865773
317	0.07874237001
316	0.07959847897
315	0.08097409457
314	0.0814267993
313	0.08454907686
312	0.0849410519
311	0.08572036028
310	0.08612191677
309	0.08855044097
308	0.08973041177
307	0.09177743644
306	0.09276082367
305	0.09476931393
304	0.09648400545
303	0.09877406806
302	0.09968265146
301	0.1024553776
300	0.1037806198
299	0.1064293012
298	0.1094640568
297	0.1105141416
296	0.1128274724
295	0.1151817441
294	0.117368564
293	0.1209119037
292	0.122988455
291	0.1268840581
290	0.1302936673
289	0.131192103
288	0.1354554743
287	0.1397293955
286	0.1420408189
285	0.1449529678
284	0.1478891075
283	0.152991429
282	0.1557104737
281	0.1591005623
280	0.1625327468
279	0.1667149663
278	0.1706107855
277	0.1749445051
276	0.1793366224
275	0.1845163554
274	0.188880235
273	0.1945564747
272	0.2011571229
271	0.2061494589
270	0.2133634835
269	0.2189271748
268	0.2265525311
267	0.2350261658
266	0.2432604134
265	0.2525747418
264	0.2605645359
263	0.2714340687
262	0.2820106447
261	0.2917443514
260	0.3016496897
259	0.3114397824
258	0.3222119212
257	0.3320857584
256	0.3419387639
255	0.352763772
254	0.3638209105
253	0.3752640188
252	0.3860417008
251	0.3955287039
250	0.4042651951
249	0.4117947221
248	0.4191101789
247	0.4245103896
246	0.4306146204
245	0.4350507855
244	0.4398071766
243	0.443192184
242	0.4479446411
241	0.4501599371
240	0.450874716
239	0.4519364536
238	0.4528220594
237	0.4530206621
236	0.4529958367
235	0.4532279968
234	0.4541133642
233	0.4557395577
232	0.4581695795
231	0.461078614
230	0.4664929211
229	0.4747418165
228	0.4865542948
227	0.5017202497
226	0.5235096216
225	0.5515315533
224	0.5871201754
223	0.6338024735
222	0.69241786
221	0.7611068487
220	0.8451243639
